N,delta_mu,pattern,kl_fused,right_side,ratio,inequality_holds
2,0.1,same_direction,0.009950330853168099,0.009987520794348725,0.9962763590738485,True
2,0.1,opposite_direction,0.0,0.009987520794348725,0.0,True
2,0.5,same_direction,0.2231435513142097,0.2424984872657392,0.9201853332374829,True
2,0.5,opposite_direction,0.0,0.2424984872657392,0.0,True
2,1.0,same_direction,0.6931471805599452,0.8925742052568388,0.7765709298763475,True
2,1.0,opposite_direction,0.0,0.8925742052568388,0.0,True
2,2.0,same_direction,1.6094379124341003,2.7725887222397807,0.5804820237218407,True
2,2.0,opposite_direction,0.0,2.7725887222397807,0.0,True
2,5.0,same_direction,3.2580965380214817,7.924005875466334,0.4111678599468151,True
2,5.0,opposite_direction,0.0,7.924005875466334,0.0,True
2,10.0,same_direction,4.61512051684126,13.032386152085927,0.35412705416978274,True
2,10.0,opposite_direction,0.0,13.032386152085927,0.0,True
2,50.0,same_direction,7.824445930877619,25.757401484400393,0.3037746620370997,True
2,50.0,opposite_direction,0.0,25.757401484400393,0.0,True
2,100.0,same_direction,9.210440366976515,31.297783723510477,0.29428410804876753,True
2,100.0,opposite_direction,0.0,31.297783723510477,0.0,True
3,0.1,same_direction,0.022250608934819782,0.022471921787284632,0.9901515831819032,True
3,0.1,opposite_direction,0.0,0.01123946920881469,0.0,True
3,0.5,same_direction,0.44628710262841964,0.5456215963479132,0.8179425184333184,True
3,0.5,opposite_direction,0.0,0.2748989846650962,0.0,True
3,1.0,same_direction,1.1786549963416462,2.0082919618278874,0.5868942458291122,True
3,1.0,opposite_direction,0.0,1.033178384841238,0.0,True
3,2.0,same_direction,2.302585092994046,6.238324625039506,0.36910312165415154,True
3,2.0,opposite_direction,0.0,3.4183028495650936,0.0,True
3,5.0,same_direction,4.047427642434349,17.82901321979925,0.2270135532761651,True
3,5.0,opposite_direction,0.0,11.58890447338691,0.0,True
3,10.0,same_direction,5.420534999272285,29.322868842193337,0.1848569124816517,True
3,10.0,opposite_direction,0.0,21.660298427263946,0.0,True
3,50.0,same_direction,8.635153989049803,57.954153339900884,0.14899974361465793,True
3,50.0,opposite_direction,0.0,49.66507248678359,0.0,True
3,100.0,same_direction,10.021315031649332,70.42001337789857,0.14230776949546187,True
3,100.0,opposite_direction,0.0,62.109440019233446,0.0,True
5,0.1,same_direction,0.0606246218164348,0.062422004964679534,0.9712059369246189,True
5,0.1,opposite_direction,0.0,0.01560915687774278,0.0,True
5,0.5,same_direction,0.9409833444645266,1.51561554541087,0.6208588631290624,True
5,0.5,opposite_direction,0.0,0.381095917395321,0.0,True
5,1.0,same_direction,1.9810014688665836,5.578588782855243,0.35510799343282373,True
5,1.0,opposite_direction,0.0,1.4258014872903546,0.0,True
5,2.0,same_direction,3.2580965380214817,17.32867951399863,0.1880175887256437,True
5,2.0,opposite_direction,0.0,4.678228339128422,0.0,True
5,5.0,same_direction,5.05783689558055,49.525036721664584,0.1021268681536992,True
5,5.0,opposite_direction,0.0,16.50007307178228,0.0,True
5,10.0,same_direction,6.439350371100098,81.45241345053705,0.07905659388485119,True
5,10.0,opposite_direction,0.0,35.110149579397934,0.0,True
5,50.0,same_direction,9.65669147255669,160.9837592775025,0.059985501120709724,True
5,50.0,opposite_direction,0.0,106.00556654911826,0.0,True
5,100.0,same_direction,11.042937835596494,195.61114827194046,0.056453519818024364,True
5,100.0,opposite_direction,0.0,140.2789675659991,0.0,True
10,0.1,same_direction,0.2231435513142097,0.24968801985871814,0.8936894587112022,True
10,0.1,opposite_direction,0.0,0.027746536897597096,0.0,True
10,0.5,same_direction,1.9810014688665836,6.06246218164348,0.3267651672722768,True
10,0.5,opposite_direction,0.0,0.6756638845445018,0.0,True
10,1.0,same_direction,3.2580965380214817,22.31435513142097,0.1460089937097818,True
10,1.0,opposite_direction,0.0,2.508785501508841,0.0,True
10,2.0,same_direction,4.61512051684126,69.31471805599453,0.06658211482751795,True
10,2.0,opposite_direction,0.0,8.035780138862751,0.0,True
10,5.0,same_direction,6.439350371100098,198.10014688665834,0.03250553052231874,True
10,5.0,opposite_direction,0.0,26.499571265574655,0.0,True
10,10.0,same_direction,7.824445930877619,325.80965380214826,0.024015390089174908,True
10,10.0,opposite_direction,0.0,56.7900599297814,0.0,True
10,50.0,same_direction,11.042937835596494,643.93503711001,0.017149148903525056,True
10,50.0,opposite_direction,0.0,259.2584511648733,0.0,True
10,100.0,same_direction,12.429220196836383,782.4445930877617,0.015885112257964414,True
10,100.0,opposite_direction,0.0,389.77793336293195,0.0,True
