N,C_min,best_delta_mu,best_delta_s
2,2.2140713806714976,0.35306122448979593,-0.3151020408163263
3,3.4917441079596228,0.25204081632653064,-0.2540816326530613
4,4.749533384539605,0.25204081632653064,-0.2540816326530613
5,6.075373172458539,0.1510204081632653,-0.1320408163265303
6,7.422479528614589,0.1510204081632653,-0.1320408163265303
7,8.709456870894627,0.1510204081632653,-0.1320408163265303
8,9.90321525304747,0.1510204081632653,-0.1320408163265303
9,10.983991581323377,0.1510204081632653,-0.1320408163265303
10,11.944089356072059,0.1510204081632653,-0.1320408163265303
